name	taxonomy_id	taxonomy_lv	D_AM2	D_AM3	D_AM4	D_AM5	D_AM6	D_AM7	D_AM8	D_AM9	D_AM10	D_AM11	D_AM12	D_AM13	D_AM14	D_AM15	D_AM16	D_AM17	D_AM18	D_AM19	D_AM20	D_AM21	D_AM22	D_AM23	D_AM24	D_AM25	D_AM26	D_AM27	D_AM28	D_AM29	D_AM32	D_AM34	D_AM36	D_AM37	D_AM38	D_AM39	D_AM40	D_AM41	D_AM42	D_AM43	D_AM44	D_AM45	D_AM46	D_AM47	D_AM48	D_TT76	D_TT88	H_BP1	H_BP3	H_BP4	H_BP5	H_BP6	H_BP7	H_TT1	H_TT2	H_TT3	H_TT4	H_TT5	H_TT7	H_TT8	H_TT9	H_TT10	H_TT11	H_TT12	H_TT15	H_TT16	H_TT17	H_TT18	H_TT21	H_TT20	H_TT23	H_TT24	H_TT28	H_TT29	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT59	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81
Lactobacillus sp. 3B(2020)	2695882	S	0	0	10300	0	0	28	0	43	40	138	39	79	0	0	7	0	10	8	0	0	0	0	11	7407	0	509	1188	31	12	0	204	7	68	34	0	0	0	259	0	104	7751	10	0	132	55	0	27	109	0	0	4227	8	9	12	0	25	8	0	32	0	7	140	13	0	21	0	0	24	0	35	0	0	0	226	35	7	632	11	90	399	143	23	26	41	864	25
Lactobacillus sp. JM1	2690380	S	0	0	4053	0	0	1979	0	1356	18394	624	1271	0	0	0	3967	2135	1906	557	0	0	86337	0	0	0	572	0	2369	3689	980	0	0	0	0	2231	618	0	0	510	0	1859	2702	0	0	0	0	0	0	0	0	0	1560	1644	0	12435	0	1291	1071	0	1447	4107	0	51630	2006	14210	0	0	3968	4526	0	6906	0	0	0	0	3650	3981	673	943	2728	0	2094	2571	579	1139	23422	0
Lactobacillus sp. ESL0680	2983210	S	0	0	15	0	0	17	0	17	50	22	27	0	15	0	19	73	13	67	0	0	78	0	23	0	67	20	100	41	26	0	22	8	61	268	7	0	0	0	0	15	74	6	0	0	0	0	0	0	0	0	85	10	17	52	0	20	67	0	0	17	16	176	64	82	0	0	18	0	0	111	0	3110	40	43	38	262	93	0	34	15	32	32	12	36	29	0
Lactobacillus sp. ESL0677	2983208	S	0	0	23	0	0	44	0	0	32	35	37	0	0	0	0	22	0	60	37	0	23	0	39	39	114	0	61	38	0	0	11	0	0	453	11	0	0	0	0	0	50	0	0	0	0	0	24	0	0	44	31	0	29	59	0	0	0	251	0	0	17	1361	12	66	0	0	0	0	0	242	0	0	0	0	15	179	17	10	48	12	12	0	0	0	55	0
Lactobacillus ultunensis	227945	S	0	0	63	0	0	77	0	28	39	12	64	8	10	0	10	30	12	61	0	0	15	10	14	16	73	16	46	114	0	0	89	15	8	545	22	10	0	30	19	67	100	40	0	0	7	80	0	0	0	31	124	0	88	10	0	46	17	0	120	0	21	96	59	28	65	0	0	0	0	126	0	0	0	0	0	0	99	62	81	20	88	125	43	98	0	8
Lactobacillus paragasseri	2107999	S	0	0	315	0	0	175	0	1289	1682	391	0	0	467	0	687	98	681	80	0	0	3783	0	0	0	165	99	727	274	686311	0	161	0	674	1334	0	0	205	0	0	393	1134	0	0	0	0	0	388	0	140	1670	911	1258	54	2719	4699	0	0	5468	805	0	0	133809	0	5026	0	0	2370	608	0	4372	0	7353	0	0	2135	3888	0	0	125	100	13553	0	71	410	3181	0
Limosilactobacillus pontis	35787	S	0	0	10883	0	0	71	0	0	164	151	0	63	0	0	35	19	0	70	15	0	0	0	15	5139	43	478	888	10	0	0	360	14	0	184	44	0	0	58	20	100	12924	0	0	167	31	0	0	74	0	0	3612	0	0	0	0	0	0	0	11	0	0	72	0	110	213	0	0	6	0	285	0	12	0	235	19	0	667	39	174	648	0	0	46	150	298	12
Limosilactobacillus gastricus	227942	S	0	0	7111	0	0	0	0	40	0	141	0	62	0	0	0	0	0	0	0	0	0	0	0	4428	0	385	717	0	0	0	35	0	55	77	0	0	0	29	0	83	6617	0	0	59	43	0	0	73	0	0	1927	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	138	0	0	420	0	0	362	0	0	22	0	414	0
Limosilactobacillus mucosae	97478	S	0	0	3722	0	50	86	23	52	227	21	44	34	7	11	0	17	23	18	0	0	58	0	0	1774	0	243	850	89	7	0	111	21	29	125	20	11	0	50	27	161	5092	21	0	105	49	37	0	51	0	0	2600	23	0	42	0	46	26	25	75	7	52	87	59	60	0	0	63	0	0	66	0	0	0	75	9	17	481	65	220	401	58	141	61	60	137	23
Limosilactobacillus oris	1632	S	0	0	4408	0	0	0	0	0	15	73	0	15	0	0	0	61	0	0	0	0	6	0	0	482	0	53	326	0	0	0	116	0	0	10	0	0	0	0	0	16	1431	0	0	47	0	0	0	0	0	0	585	43	8	0	16	0	0	0	14	0	0	0	0	0	0	0	0	0	0	39	0	0	0	68	0	0	144	0	0	193	0	51	0	11	71	0
Lacticaseibacillus pantheris	171523	S	0	0	1511	0	0	18	0	19	41	27	40	8	0	0	10	0	0	24	0	18	17	0	0	546	26	79	195	25	0	0	9	0	9	25	16	0	0	23	9	36	1406	11	0	29	13	8	0	12	0	0	514	0	0	18	0	24	7	0	13	0	21	16	16	26	0	0	0	0	0	28	0	0	5	24	14	14	142	6	53	66	18	14	18	33	97	14
Levilactobacillus suantsaii	2292255	S	0	0	101	0	0	13	0	20	50	15	28	0	0	0	0	31	0	21	0	0	0	0	0	19	16	7	28	73	23	0	10	0	0	53	0	0	16	12	10	47	60	16	0	0	0	26	0	0	0	0	122	0	0	0	0	41	0	0	0	0	23	86	87	0	0	0	0	0	0	0	0	34	0	0	16	45	77	31	215	0	19	132	17	133	23	0
Ligilactobacillus murinus	1622	S	0	0	16	0	0	15	0	43	114	35	142	0	0	0	13	0	5	13	0	0	23	0	161	70	55	97	24	31	0	0	24	6	0	114	10	0	0	109	9	15	134	9	0	0	0	56	7	0	0	0	44	0	13	36	0	0	0	9	19	7	24	99	24	59	9	0	0	0	0	23	0	23	6	0	14	18	56	35	23	6	12	62	12	15	91	0
Pediococcus pentosaceus	1255	S	0	0	25	0	0	84	0	0	78	0	0	0	0	0	0	18	0	0	0	0	64	0	15	0	0	114	416	620	137	0	0	0	32	8	0	0	0	0	0	0	15	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	338	100	0	420	132	0	788	112	80	39	0	0	0	0	0	0	0	0	0	0	150	0	0
Latilactobacillus curvatus	28038	S	0	0	47	0	0	45	0	84	64	42	45	7	7	0	23	58	19	41	0	0	173	0	16	10	16	16	86	90	34	0	60	7	0	89	59	98	0	13	14	46	57	9	0	0	0	20	21	6	0	0	82	0	49	51	0	76	13	0	24	0	50	310	58	67	40	0	0	0	0	79	51	20	0	0	40	44	87	42	84	17	64	110	27	69	53	0
Loigolactobacillus bifermentans	1607	S	0	0	23	0	0	37	16	136	176	81	45	0	0	7	85	0	0	0	0	0	146	0	0	0	40	0	30	95	0	0	30	0	0	43	0	0	0	19	0	44	52	11	0	0	0	49	0	0	0	0	58	12	28	142	0	32	20	0	52	0	0	164	21	65	17	0	0	0	0	53	0	0	0	0	0	38	48	31	31	14	65	32	20	89	63	0
Streptococcus ferus	1345	S	0	0	479	0	0	55	0	95	38	25	30	6	0	0	35	22	16	25	0	0	5	9	0	379	0	61	116	248	0	0	54	22	0	76	32	61	0	13	15	21	396	28	0	19	0	51	12	0	0	0	141	0	118	0	0	27	56	0	118	0	35	26	79	11	5	0	21	0	0	93	0	0	0	10	0	12	175	24	45	110	172	91	71	174	103	16
Streptococcus sp. 116-D4	2598453	S	0	0	7	102	18	10	24	53	10	11	0	0	0	28	30	111	60	0	24	10	0	62	0	11	0	0	40	17	16	16	39	0	68	0	119	10	18	0	30	64	0	0	10	0	18	14	189	19	23	411	0	25	0	7	64	15	0	0	0	0	6	29	0	113	89	0	89	22	0	16	0	0	0	0	0	0	8	181	214	18	0	119	45	0	22	61
Streptococcus anginosus	1328	S	0	0	52	142	0	36	144	21	231	261	40	0	9	0	489	34	18	42	0	0	59	0	0	12	38	0	2364	55	565	0	1020	54	32	52	35	841	0	12	22	18	205	8	0	1697	0	245	419	0	0	1624	138	22	90	39	86	39	0	70813	4535	0	13	481	5132	333	146	356	16122	28	501	35728	43188	11389	17	1328	159	42936	43	44672	35	2878	8391	30	76	83	21	27
Streptococcus pasteurianus	197614	S	0	0	52	0	0	34	0	24	111	0	0	0	0	0	38	47	0	0	0	0	28	0	0	0	0	0	106	62	0	0	105	0	0	58	0	0	0	0	0	54	81	0	0	0	0	63	0	0	0	0	39	0	0	31	0	0	0	0	29	0	0	139	163	102	0	0	0	0	0	93	0	0	0	0	0	89	28	0	0	0	52	26	36	61	26	0
Lactococcus garvieae	1363	S	0	0	181	0	0	176	0	239	1089	0	248	0	0	71	0	0	0	148	0	0	0	0	0	0	0	0	268	387	0	0	368	0	0	242	0	0	0	0	0	0	574	0	0	0	0	0	0	0	0	0	301	0	0	154	0	868	0	0	0	0	287	1700	0	1144	0	0	0	0	0	0	0	0	0	0	0	144	498	300	294	0	493	278	259	219	137	0
Carnobacterium maltaromaticum	2751	S	0	0	355	0	0	0	0	0	20	17	29	0	0	27	0	21	8	0	0	0	83	0	49	126	0	0	25	50	0	0	0	0	0	15	10	51	0	0	0	29	14	0	0	0	0	16	0	0	0	21	39	0	85	22	0	58	0	0	0	0	14	81	41	40	102	0	0	0	0	69	94	0	0	17	0	0	43	35	36	13	25	12	14	0	51	7
Desemzia incerta	82801	S	0	0	20	0	17	44	0	0	52	57	96	0	0	941	0	30	0	30	38	0	0	0	0	0	43	46	21	67	0	0	0	23	0	126	0	0	0	60	0	0	25	0	0	0	8	0	0	0	0	0	0	0	28	0	0	0	0	0	74	0	23	265	0	19	0	0	0	0	13	63	0	0	0	0	24	0	48	0	0	0	15	21	0	76	15	0
Bacillus paranthracis	2026186	S	0	0	81	0	0	64	0	43	179	29	47	0	31	18	43	16	30	13	0	0	84	31	0	17	16	40	93	316	30	0	68	19	0	40	29	21	17	28	16	39	115	43	0	0	0	87	57	14	0	31	54	0	15	47	0	87	0	58	111	0	78	417	68	93	0	0	10	0	0	86	32	52	14	14	84	38	193	44	181	74	80	81	74	149	53	0
Bacillus spizizenii	96241	S	0	0	191	0	0	22	0	61	75	0	9	0	0	0	60	0	0	0	0	0	21	0	0	0	0	0	55	337	0	0	15	0	0	21	0	108	0	0	0	0	72	9	0	0	0	47	14	0	0	0	22	0	0	19	0	0	0	7	43	0	0	69	733	42	0	0	0	0	0	27	36	28	0	0	15	14	18	6	25	0	48	9	121	202	8	0
Bacillus atrophaeus	1452	S	0	0	1496	6	0	1679	0	2755	734	607	13	0	0	0	0	234	150	189	0	0	696	0	0	0	0	5	159	302	647	0	1126	262	0	407	238	0	0	0	0	10	547	209	0	0	0	21	0	0	0	0	262	0	249	208	0	348	0	16	0	0	21	2046	15	0	0	439	0	7	0	359	0	541	0	0	769	449	808	287	792	0	235	13	233	266	202	0
Bacillus sp. 7D3	2851015	S	0	0	330	0	0	368	0	201	355	0	152	0	0	0	0	0	0	0	0	0	110	0	0	0	0	169	284	605	172	0	393	150	0	218	0	132	0	0	0	586	385	125	0	0	0	638	1020	0	0	0	270	0	0	0	0	296	0	0	171	0	155	351	497	167	131	0	71	0	0	389	0	82	0	0	431	0	710	308	946	0	2764	924	209	389	116	0
Bacillus sp. ZHX3	2841656	S	0	0	1571	0	0	1409	0	2402	2676	2778	2544	0	0	0	532	1315	0	642	0	0	733	0	0	0	468	0	2393	2447	1709	0	2430	0	0	2783	891	725	656	1052	607	3193	5128	862	0	0	0	2021	1938	0	0	2030	1676	0	0	1222	0	4459	0	0	1255	0	0	6485	6045	1312	437	0	347	0	0	2533	0	1087	300	0	971	817	4309	3517	2423	734	3032	2680	2218	2247	2565	502
Geobacillus sp. GHH01	1233873	S	0	0	3357	0	0	0	0	30	30	0	0	0	32	0	88	16	0	0	0	0	67	0	0	0	0	58	38	572	0	0	225	0	0	25	0	71	19	0	0	26	15	20	0	0	0	124	117	23	0	0	18	0	0	0	0	0	0	0	178	0	23	368	75	45	13	0	0	0	0	38	39	0	0	0	55	14	83	19	138	0	229	99	0	287	44	0
Paenibacillus mucilaginosus	61624	S	0	0	37	0	0	110	0	59	122	30	73	0	5	7	43	36	15	9	0	8	34	56	7	6	11	47	101	270	38	0	56	26	0	108	12	7	13	77	10	80	61	52	0	0	5	108	413	0	0	42	105	0	42	38	0	438	75	8	45	0	41	331	62	96	21	0	52	0	22	46	6	36	13	9	111	45	141	106	116	27	176	92	58	308	38	0
Paenibacillus physcomitrellae	1619311	S	0	0	24	0	0	22	0	56	37	17	16	0	0	0	63	13	5	8	0	0	33	7	0	0	0	5	51	163	12	0	9	19	0	44	6	7	13	86	0	101	22	11	0	0	0	61	37	23	0	16	24	0	12	0	0	15	6	14	72	0	19	85	50	36	10	11	9	0	0	53	36	21	0	0	19	31	82	8	29	18	76	55	30	114	57	0
Alicyclobacillus acidocaldarius	405212	S	0	0	20	0	16	0	0	23	0	431	0	0	0	0	0	135	0	0	0	0	0	0	7	0	0	0	30	0	0	0	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	16	0	0	7	23	0	0	1835	38	0	0	121	155	13	12	87	0	0	5	161	104	78	0	0	271	323	0	342	7	6	346	0	40	0	0	0
Anaerococcus prevotii	33034	S	0	0	14273	13	82	154	99	14401	47	1167	44	33	19	261	107	6452	166	997	29	5054	715	140	62	10	1431	145	8779	213	8053	165	1146	2032	183	176	193	2696	0	79	19	1049	31	0	0	140	0	65	33880	90	29	102	12612	20	508	12692	147	263	87	270142	8548	21	25	177353	2511	369	221	14980	3937	58	5836	112587	111	661117	48	140	19437	153776	80	165	757	491	11782	541	4160	6923	19	114
Anaerococcus mediterraneensis	1870984	S	0	0	2866	0	25	99	72	3410	7	184	0	13	14	115	34	2139	81	77	28	146	220	29	19	0	86	43	3874	316	1576	41	487	300	97	87	143	14034	8	0	0	65	27	0	0	55	0	328	6094	0	0	31	6132	14	195	2242	125	0	19	80962	1874	0	29	632040	1130	132	86	1511	843	184	976	24419	0	136802	26	21	10576	35147	21	119	379	459	9504	323	1621	448	217	31
Peptoniphilus ivorii	54006	S	0	0	78	0	78	0	0	668	6	771	0	0	0	17	0	205	12	35	19	18	0	0	0	0	44	0	35	10	5	0	9	15	0	26	0	402	10	0	0	0	16	0	0	27	0	0	8207	0	0	0	654	0	18	327	36	0	0	9119	549	0	8	4111	5119	41	24	96	670	10	13	857	125	1630	6	0	11685	4589	22	27	83	0	1190	175	1304	171	0	33
Murdochiella vaginalis	1852373	S	0	0	8	0	0	0	0	695	10	105	0	0	0	0	0	0	0	0	0	0	143	8	0	0	0	0	0	0	0	0	0	26	0	8	0	210	0	0	0	0	0	0	0	6	0	0	35946	0	0	0	529	6	0	212	0	0	0	4046	0	0	0	198	12641	0	13	18	0	15	0	123	11	225	0	0	697	218	0	0	0	0	251	6	1287	33	0	0
Gottschalkia acidurici	1556	S	0	0	28	0	0	84	0	63	117	17	6	0	10	0	190	23	6	0	0	7	96	0	19	5	0	5	204	225	56	0	57	25	0	78	23	0	0	9	5	0	46	16	0	6	0	100	73	0	0	31	13	14	21	33	0	20	0	9	239	0	13	125	53	187	70	11	59	16	0	146	23	19	6	0	44	31	90	40	41	21	107	35	51	109	18	0
Dialister succinatiphilus	487173	S	0	0	3004	0	1976	0	0	4492	0	67550	0	0	0	0	1131	0	977	414	0	0	140	155	108	0	626	0	3917	57	2892	0	1970	301	95	148	0	2352	107	0	0	125	0	0	0	959	0	469	37857	0	0	271	5579	0	0	2446	977	0	69	266813	4956	29	0	25487	28780	0	60	17912	7792	54	314	24358	15642	21966	274	25	54793	37917	26	79207	214	2276	29715	974	12138	94	0	0
Dialister pneumosintes	39950	S	0	0	1225	0	4821	61	0	2553	155	52643	0	0	0	22	848	34	457	345	0	0	53	28	35	0	502	0	1776	0	3634	0	1555	268	0	93	85	1237	82	0	0	86	0	0	0	947	0	555	18018	21	55	377	2190	0	0	2009	270	0	71	157504	2189	67	15	13753	21920	0	24	15419	9508	22	397	16017	9439	7160	217	0	27617	25697	26	48550	69	2085	18216	250	10679	69	0	0
Megasphaera hexanoica	1675036	S	0	0	69	0	12	84	0	627	15	2651	0	0	0	0	90	66	52	17	0	0	0	18	0	0	24	0	1318	11	1091	0	117	32	0	0	0	302	62	0	0	10	14	0	0	101	0	593	2444	0	0	0	1742	0	0	189	0	8	0	21852	385	0	24	2243	8722	28	46	11858	3693	0	30	2220	3959	8490	179	15	12660	5724	12	6072	21	459	3460	3064	4143	216	0	194
uncultured Sporomusa sp.	307249	S	0	0	75	0	94	0	0	143	0	169	0	0	0	0	26	0	12	0	0	0	0	7	12	0	0	0	81	0	171	0	53	19	0	0	0	119	23	0	0	0	0	0	0	20	0	8	1219	0	0	0	254	0	13	35	0	0	0	8147	273	0	0	893	1121	0	0	695	1098	8	23	712	405	347	32	0	2609	1086	0	2427	30	141	1017	315	372	0	0	0
Methylomusa anaerophila	1930071	S	0	0	86	0	56	0	0	123	0	60	0	0	0	0	20	27	15	0	0	0	7	26	14	0	0	0	56	0	10	0	26	0	0	0	0	62	8	0	0	0	0	0	0	0	0	8	835	0	0	0	374	0	0	11	0	0	0	8562	396	0	0	640	502	0	0	81	278	0	0	441	251	142	0	0	1913	551	0	2433	0	15	667	93	174	23	0	0
Selenobaculum gbiensis	3054208	S	0	0	126	0	0	52	22	250	6	147	29	0	0	0	0	38	0	0	0	0	0	0	6	0	17	10	70	32	0	0	38	0	0	24	14	0	39	14	0	73	34	15	22	0	0	41	717	0	0	0	751	0	0	31	0	51	0	7167	557	0	16	1790	411	0	0	71	840	0	0	218	62	198	60	0	3325	499	44	1659	36	33	2111	1084	197	36	0	143
Selenomonas sputigena	69823	S	0	0	15	0	0	19	20	129	12	666	62	0	0	6	61	66	10	21	14	26	21	89	0	0	30	8	99	0	449	0	75	22	33	27	0	0	7	0	0	0	24	0	0	50	6	115	1055	12	0	45	53	0	31	113	0	0	53	12954	22	0	24	940	1555	39	43	1605	1630	0	23	1657	943	344	30	0	1287	2537	24	1077	23	247	1009	91	469	35	0	16
Peptostreptococcus sp. CBA3647	3003601	S	0	0	115	0	0	0	0	7	32	2489	0	0	0	0	17	0	5	100	0	13	5	9	0	0	139	0	104	0	81	0	45	0	0	0	5	0	0	0	0	0	10	0	0	12	0	179	3765	0	0	10	950	0	10	115	0	0	0	368	31	0	0	32	97	18	24	274	1050	24	628	307	0	13858	14	0	420	2946	0	966	65	55	0	274	7032	0	0	0
Mageeibacillus indolicus	884684	S	0	0	101	0	0	30	0	458	15	19	14	7	0	0	0	7	0	0	0	0	27	0	0	8	0	9	37	18	21	0	12	0	0	7	0	0	21	23	0	0	0	7	0	6	0	0	23	72	0	114	25	0	0	6	5	84	0	16	188	12	7	48	104	20	19	182	10	12	0	67	0	25	6	0	74	85	19	34	18	0	33	12	19	444	62	0
Subdoligranulum variabile	214851	S	0	0	16	0	18	0	0	42	9	0	0	0	0	0	0	280	0	0	0	60	16	30	0	0	0	126	20	22	0	0	8	0	0	12	83	0	0	0	0	0	36	0	0	0	0	0	55	0	0	0	55	14	73	0	6	0	0	161	0	0	0	111	52	35	35	23	0	0	0	14	0	0	16	0	0	7	19	295	22	0	260	7	19	62	0	16
Blautia sp. SC05B48	2479767	S	0	0	17	0	0	17	34	72	101	53	36	0	13	0	0	0	0	0	0	0	44	219	0	0	0	72	58	0	0	0	45	0	0	15	77	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	64	26	0	0	0	0	0	0	66	0	0	39	0	0	0	13	89	26	62	0	225	29	0	0	0
Butyrivibrio proteoclasticus	43305	S	0	0	13	0	0	0	0	0	0	134	0	0	0	0	0	11	0	9	0	0	0	0	0	0	10	0	36	0	8	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	114	0	0	0	6	0	0	325	0	0	0	384	25	0	0	6	17	0	7	327	0	58	0	0	33	73	0	46	0	76	199	0	94	0	0	0
Epulopiscium sp. 'N.t. morphotype B'	420336	S	0	0	12	0	41	15	5	41	56	291	22	0	0	10	9	9	9	20	0	0	14	0	0	0	26	68	19	23	0	0	30	8	0	23	16	6	17	0	0	11	21	7	0	29	5	9	569	0	0	0	7163	0	6	17	0	0	6	575	239	0	15	92	17	21	0	40	133	0	13	32	26	622	0	0	3659	826	12	32	94	0	647	16	227	109	9	0
Zhaonella formicivorans	2528593	S	0	0	32	0	0	0	0	48	0	407	0	0	0	0	32	0	18	0	0	0	0	0	0	0	5	0	81	0	150	0	72	0	0	5	0	0	0	0	0	0	0	0	0	26	0	41	527	0	0	0	75	0	16	34	0	0	0	4811	0	0	0	462	791	6	14	798	501	0	33	757	349	495	0	0	926	1134	0	968	0	59	460	0	333	7	0	0
Mycoplasma feriruminatoris	1179777	S	0	0	26	0	0	87	0	19	64	24	92	0	0	0	18	6	0	46	0	0	9	0	0	0	0	29	73	87	12	0	39	16	0	98	0	0	0	64	0	113	32	16	0	0	0	32	13	0	0	0	94	0	0	19	0	16	0	0	12	0	57	44	59	16	0	0	0	0	0	26	0	13	8	8	19	7	134	10	73	14	104	82	18	74	31	0
Oscillatoria nigro-viridis	482564	S	0	0	5	0	0	0	13	15	77	0	5	0	0	2630	135	566	11	9	325	6	72	290	20	0	0	0	17	7	28	15	102	75	81	9	0	0	0	10	15	5	8	0	0	0	0	0	32	106	31	56	33	34	7	0	48	0	0	11	47	0	21	89	6	274	160	0	7	49	21	28	0	0	33	9	0	0	11	51	0	6	2817	786	39	0	16	40
Limnospira indica	147322	S	0	0	16	0	0	17	61	0	300	0	15	0	14	0	0	281	0	0	0	0	151	192	0	0	0	0	53	28	74	17	0	137	248	10	51	0	93	233	168	0	0	0	0	0	0	0	197	0	0	0	57	0	0	0	0	0	0	142	0	0	0	1043	33	203	176	0	0	286	181	249	0	0	0	0	27	0	9	168	11	0	1159	898	59	22	85	56
Klebsiella variicola	244366	S	0	0	23	0	0	15	85	100	47	11	16	0	0	35	0	12	20	0	0	18	44	38	0	8	0	0	27	15	0	15	32	20	23	21	18	0	0	0	0	10	28	0	0	0	0	0	0	0	0	30	139	44	0	18	0	0	0	0	0	0	15	88	24	11	55	0	64	0	0	170	0	0	0	0	51	9	19	106	24	0	33	145	59	16	40	32
Pseudomonas sp. CIP-10	2892442	S	0	0	54	0	0	29	0	49	1762	0	0	0	133	502	0	1864	88	46	223	132	38	594	0	0	0	92	237	318	268	0	1905	486	1341	143	4381	492	57	261	271	0	2034	0	107	808	515	434	1101	269	48	597	554	463	421	0	355	121	0	68	222	38	759	193	715	998	1097	512	320	111	765	2796	80	0	80	128	35	27	0	1249	178	64	2219	5015	5627	185	187	243
Haemophilus influenzae	727	S	0	0	10	0	0	0	0	126	10	24	0	0	0	50	0	58	34	0	0	18	10	0	0	0	29	16	43	6	0	0	0	0	0	0	0	0	0	0	77	46	0	0	0	43	0	23	0	0	0	0	111	0	30	0	11	0	254	0	0	0	34	24	0	0	149	0	184	0	0	0	42	0	0	0	0	0	0	0	0	0	125	47	42	0	34	59
Aggregatibacter actinomycetemcomitans	714	S	0	0	51	0	0	26	0	56	35	0	0	0	0	9	7	40	0	0	0	57	33	37	0	0	0	0	22	18	20	0	25	0	0	19	0	0	0	0	0	0	122	0	0	0	0	27	24	0	12	0	0	0	0	16	0	21	0	0	25	15	48	116	27	85	19	92	0	0	0	20	0	0	0	0	19	0	15	49	0	0	25	69	193	0	7	0
Candidatus Methylospira mobilis	1808979	S	0	0	9	0	0	17	0	794	0	0	0	0	0	0	0	7	7	0	0	0	0	24	0	0	0	0	20	0	0	0	8	0	0	0	9	0	0	0	0	0	0	0	0	0	0	65	6	0	0	305	0	0	0	0	0	27	0	0	58	11	0	0	383	5	107	0	7	0	0	6	0	111	6	0	167	203	14	11	0	379	0	30	28	521	11	0
Enhydrobacter sp.	1894999	S	0	0	2388	0	0	0	0	29	469	0	0	0	0	0	57	34	0	0	18	0	0	1434	0	0	6	0	0	0	0	57	35	13	0	0	0	94	12	0	0	0	0	0	0	0	0	0	0	0	0	0	18	7	19	0	5	0	0	0	0	0	0	0	0	108	0	0	0	50	0	32	65	0	0	0	0	0	0	50	0	0	0	47	0	0	0	0
Candidatus Hodgkinia cicadicola	573658	S	0	0	17	0	0	20	0	33	92	17	32	7	15	10	5	49	18	11	0	13	81	38	0	7	15	8	56	12	5	0	70	19	0	29	16	7	9	11	14	34	58	10	0	6	5	9	9	0	0	10	30	0	0	59	0	146	8	661	11	56	16	109	28	84	26	8	22	15	0	60	28	13	5	6	21	13	38	33	18	10	24	31	9	11	71	0
Azospirillum baldaniorum	1064539	S	0	0	94	0	0	0	0	89	62	197	31	0	0	38	0	103	0	0	0	0	47	0	0	16	15	0	70	15	67	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	73	0	0	0	13	0	0	35	0	0	0	0	0	0	26	178	237	118	45	0	98	0	0	156	0	131	0	0	220	253	0	0	0	0	0	80	117	0	13	0
Sphingomonas sp. LK11	1390395	S	0	0	12	0	0	0	0	32	0	0	0	0	0	0	0	510	88	0	72	0	0	1621	0	0	0	0	0	0	0	0	50	0	54	0	89	368	0	0	0	39	0	0	14	0	85	0	0	0	0	0	0	0	17	0	25	0	0	0	0	0	0	0	0	391	242	0	0	30	0	0	0	0	0	0	16	0	0	65	14	0	750	323	0	0	50	0
Sphingomonas paucimobilis	13689	S	0	0	14	0	0	0	0	0	0	0	0	0	0	0	62	118	0	0	184	0	0	768	0	0	0	11	0	0	45	0	63	77	0	0	34	0	83	0	0	25	0	0	25	8	0	109	0	0	0	0	89	0	0	0	106	0	0	0	38	0	0	176	0	0	99	0	53	21	0	38	214	36	0	0	15	43	32	103	33	0	37	58	818	33	0	24
Brevundimonas sp. M20	2591463	S	0	0	12	49	18	0	39	0	172	0	0	0	0	102	0	10	0	22	0	136	0	1333	0	0	0	0	22	11	0	0	109	13	27	0	13	42	15	0	0	12	0	0	13	5	0	0	0	0	15	120	0	0	0	0	7	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	13	316	54	35	0	0	0
Taylorella equigenitalis	29575	S	0	0	9	0	0	47	0	527	257	59	253	0	0	810	65	0	6	50	0	0	112	762	0	0	0	0	244	0	0	0	131	0	0	8	0	91	0	0	0	36	88	0	0	0	0	0	113	0	0	0	19	0	49	31	0	241	0	0	0	0	147	302	378	464	288	0	0	0	0	6	0	55	0	0	315	326	75	614	82	0	204	211	327	0	63	0
Aquincola tertiaricarbonis	391953	S	0	0	9	40	22	0	57	13	0	0	0	0	0	36	47	45	19	0	116	31	0	28566	55	0	6	15	19	0	15	0	25	38	0	25	53	114	225	0	7	18	12	0	30	0	0	112	53	79	23	309	94	0	8	0	40	0	53	44	43	0	10	38	0	42	1643	0	35	0	25	17	0	0	11	0	0	0	0	24	0	0	0	393	29	34	16	25
Burkholderia thailandensis	57975	S	0	0	1831	0	0	1721	0	6847	5353	790	0	0	0	2992	0	6247	1078	1114	0	0	2243	28763	0	0	713	1445	3678	1209	1427	0	0	0	0	1115	0	0	0	0	0	0	1012	907	0	0	0	0	2895	0	0	0	1561	0	1661	845	0	0	0	821	4153	0	479	5661	6946	3474	0	3648	0	0	0	4044	0	697	0	0	0	4063	1676	4855	0	0	3406	3673	3584	14693	0	0
